time,lastnum,result,maximumRoll,maximum,minimum
100,2560,end,10,3130,2560
100,2730,end,5,3100,2600
100,2805,end,36,2965,2595
100,2755,end,2,3110,2500
100,2905,end,55,3045,2730
100,2600,end,0,2930,2380
100,2235,end,9,2990,2235
80,3205,win,79,3205,2735
100,2630,end,3,3075,2435
16,3220,win,15,3220,2930
100,2715,end,37,3010,2595
100,2905,end,40,3085,2730
100,2585,end,0,2930,2265
100,2385,end,13,3015,2385
18,3215,win,17,3215,2860
100,2740,end,51,3120,2740
100,2910,end,13,3070,2800
100,2780,end,1,3000,2650
100,2965,end,97,3035,2590
100,2785,end,19,3140,2745
100,2110,end,0,2990,1935
100,3035,end,13,3130,2770
100,2815,end,8,3000,2415
100,2820,end,45,3055,2580
100,2360,end,0,2930,2360
100,2425,end,3,3060,2350
100,2435,end,17,3050,2315
100,2605,end,57,2970,2605
35,3220,win,34,3220,2870
100,2575,end,0,2990,2460
100,2440,end,30,2965,2440
100,2540,end,6,3200,2540
100,2830,end,0,2990,2570
100,2780,end,4,3070,2515
10,3205,win,9,3205,2930
23,3215,win,22,3215,2930
100,2375,end,22,3120,2375
100,2515,end,0,3010,2515
100,3055,end,99,3055,2660
100,2980,end,4,3060,2635
25,3250,win,24,3250,2930
95,3210,win,94,3210,2860
100,2410,end,19,3170,2290
100,2675,end,0,2930,2660
100,2730,end,8,2995,2635
81,3240,win,80,3240,2790
100,2990,end,45,3150,2790
100,2680,end,11,3120,2620
100,2395,end,7,3030,2395
100,2475,end,5,3100,2475
100,2625,end,5,3075,2405
100,2350,end,2,2940,2350
100,2670,end,30,3145,2670
23,3230,win,22,3230,2940
100,2675,end,16,3180,2600
100,3040,end,48,3050,2780
100,2965,end,38,3105,2790
100,2435,end,4,3090,2420
100,1990,end,0,2930,1990
100,3050,end,97,3120,2785
26,3255,win,25,3255,2920
100,2660,end,22,2975,2575
100,3010,end,44,3130,2870
50,3225,win,49,3225,2850
29,3230,win,28,3230,2940
100,2480,end,0,3010,2295
100,2175,end,1,3000,2175
90,3225,win,89,3225,2735
100,3000,end,98,3070,2655
100,2315,end,22,3170,2315
13,3205,win,12,3205,2940
15,3205,win,14,3205,2940
100,2915,end,35,2970,2490
100,2660,end,5,3150,2595
45,3240,win,44,3240,2770
100,2900,end,49,3140,2795
100,3060,end,68,3135,2700
100,2430,end,26,3180,2430
100,2215,end,9,2960,2215
100,2575,end,2,3060,2460
100,2425,end,2,3050,2330
100,2300,end,23,3065,2300
100,2390,end,7,2990,2330
33,3255,win,32,3255,2920
100,2735,end,8,3065,2655
100,2975,end,52,3180,2890
100,2490,end,7,3085,2490
100,2330,end,12,3065,2270
100,2735,end,0,2990,2610
100,2385,end,7,3130,2385
73,3270,win,72,3270,2860
100,2805,end,10,3100,2645
100,2235,end,0,2930,2235
100,2545,end,4,3040,2545
100,2605,end,0,2930,2345
100,2370,end,0,2930,2090
100,2665,end,10,3050,2595
100,2360,end,4,2990,2285
100,2455,end,2,3070,2310
100,2620,end,10,3140,2620
time,lastnum,result,maximumRoll,maximum,minimum
100,2726,end,8,2997,2714
100,2834,end,31,3066,2834
100,2613,end,0,2970,2601
100,2761,end,0,3010,2761
100,2679,end,0,3010,2629
100,2843,end,16,2980,2783
100,2900,end,0,2970,2829
100,2823,end,0,3010,2783
100,2865,end,44,3051,2833
100,2759,end,3,3012,2744
100,2738,end,10,3024,2706
100,2634,end,0,3010,2634
100,2479,end,3,3012,2479
100,2768,end,4,3012,2761
100,2671,end,23,3040,2671
100,2714,end,3,3020,2714
100,2847,end,6,3020,2825
100,2927,end,42,3083,2927
100,2896,end,18,3079,2896
100,2762,end,8,3035,2722
100,2895,end,9,3045,2828
100,2608,end,5,3024,2608
100,2865,end,21,3009,2789
100,2899,end,35,3017,2867
100,2664,end,0,2970,2652
100,2746,end,6,3002,2734
100,2892,end,41,3018,2858
100,2750,end,13,3036,2750
100,2752,end,19,3020,2747
100,2916,end,6,3000,2877
100,2666,end,2,3020,2651
100,2764,end,19,3017,2764
100,2758,end,13,3017,2758
100,3018,end,61,3083,2952
100,2796,end,10,3039,2784
100,2691,end,0,2970,2667
100,2772,end,7,3037,2772
100,2661,end,23,2975,2661
100,2909,end,0,2970,2842
100,2746,end,12,3019,2746
100,2771,end,7,3047,2771
100,2764,end,3,2980,2734
100,2559,end,2,3010,2559
100,2589,end,15,2994,2589
100,2654,end,0,2990,2654
100,2747,end,4,3005,2747
100,2850,end,12,3045,2811
100,2810,end,41,3046,2798
100,2711,end,0,3010,2699
100,2825,end,7,3042,2749
100,2693,end,4,3024,2643
100,2908,end,5,3030,2829
100,2665,end,12,2987,2653
100,2621,end,0,2970,2621
100,2961,end,62,3091,2891
100,2717,end,2,3025,2702
100,2769,end,4,3015,2769
100,2746,end,1,3020,2746
100,2846,end,6,3015,2834
100,2999,end,44,3046,2944
100,2803,end,50,3021,2803
100,2882,end,37,3044,2826
100,2778,end,0,2970,2778
100,2761,end,1,3012,2724
100,2768,end,3,3015,2692
100,2792,end,1,3012,2792
100,2688,end,26,3036,2636
100,2805,end,9,3042,2778
100,2894,end,43,3075,2892
100,2859,end,3,3015,2819
100,2731,end,1,3000,2697
100,2618,end,15,2994,2618
100,2864,end,30,3014,2806
100,2808,end,0,3010,2763
100,2847,end,0,2970,2783
100,2714,end,3,3000,2714
100,2967,end,98,2997,2856
100,2705,end,12,3039,2705
100,2952,end,87,2982,2856
100,2763,end,6,3012,2763
100,2806,end,8,3035,2749
100,2882,end,13,2987,2873
100,2868,end,14,3019,2814
100,2718,end,2,3010,2718
100,3018,end,86,3066,2870
100,2765,end,21,3014,2720
100,2853,end,62,3038,2853
100,2821,end,9,3027,2809
100,2678,end,1,3015,2678
100,2762,end,5,2980,2711
100,2685,end,3,3012,2655
100,2798,end,1,3020,2785
100,2806,end,32,3064,2806
100,2633,end,3,3022,2633
100,2799,end,0,2970,2757
100,2629,end,2,3012,2629
100,2824,end,14,3050,2759
100,2832,end,5,2995,2802
100,2609,end,9,3010,2609
100,2901,end,59,3081,2901
time,lastnum,result,maximumRoll,maximum,minimum
100,1464,end,1,2961,1464
100,1254,end,1,2961,1199
100,1290,end,2,2975,1259
100,1359,end,1,2968,1315
100,1286,end,2,2971,1286
100,1536,end,1,2961,1490
100,1360,end,2,2961,1360
100,1501,end,2,3010,1481
100,1091,end,1,3000,1091
100,1475,end,1,3000,1430
100,1368,end,0,3010,1368
100,1239,end,3,2981,1188
100,1073,end,1,2961,1019
100,1542,end,0,2990,1542
100,1566,end,1,2964,1566
100,1675,end,0,3010,1675
100,1217,end,1,2961,1217
100,1512,end,0,2920,1464
100,1401,end,2,2930,1341
100,1490,end,0,3010,1490
100,1371,end,1,2961,1371
100,1472,end,4,2968,1428
100,1620,end,0,2990,1620
100,1723,end,0,3010,1663
100,1535,end,4,3030,1535
100,1240,end,1,2961,1192
100,1159,end,2,2974,1159
100,1301,end,0,3010,1259
100,1400,end,1,2962,1400
100,1255,end,2,2980,1217
100,1394,end,2,2971,1394
100,1257,end,1,3020,1257
100,1115,end,0,2920,1115
100,1402,end,0,3010,1402
100,1365,end,2,2974,1355
100,1442,end,1,2965,1388
100,1331,end,3,2971,1331
100,1310,end,2,2961,1276
100,1482,end,1,2964,1482
100,1367,end,1,2961,1326
100,1262,end,2,2971,1252
100,1559,end,0,2920,1518
100,1188,end,1,2961,1188
100,1396,end,2,2974,1396
100,1582,end,2,2962,1538
100,843,end,1,2961,843
100,1571,end,0,3010,1529
100,1800,end,2,2978,1752
100,1457,end,0,3010,1457
100,1871,end,0,3010,1823
100,1411,end,1,2968,1411
100,1407,end,2,2974,1397
100,1520,end,0,2990,1520
100,1319,end,0,3010,1271
100,1560,end,0,2920,1516
100,1517,end,1,3020,1517
100,1267,end,2,2930,1219
100,1547,end,0,3010,1547
100,1507,end,2,2930,1507
100,1397,end,1,2968,1363
100,1450,end,0,2990,1412
100,1496,end,1,3000,1452
100,1090,end,1,3020,1090
100,1289,end,0,2990,1289
100,1420,end,0,2990,1420
100,1316,end,1,2964,1255
100,1270,end,1,2962,1226
100,1505,end,1,2961,1464
100,1335,end,1,2970,1335
100,1377,end,0,2920,1336
100,1173,end,0,2920,1122
100,1467,end,0,3010,1435
100,1345,end,2,2930,1345
100,1354,end,2,2974,1354
100,1528,end,0,2990,1528
100,1507,end,0,2990,1507
100,1206,end,1,2961,1155
100,1487,end,2,2964,1487
100,1308,end,1,2968,1258
100,1597,end,0,2920,1597
100,1702,end,0,2990,1702
100,1313,end,1,2962,1269
100,1495,end,1,2961,1454
100,1568,end,0,3010,1517
100,1186,end,1,2964,1186
100,1453,end,4,2940,1405
100,1448,end,0,3010,1438
100,1330,end,1,3020,1330
100,1306,end,1,2962,1306
100,1531,end,1,2961,1531
100,1260,end,1,3020,1216
100,1469,end,0,2990,1428
100,1435,end,1,2968,1435
100,1428,end,1,2968,1428
100,1541,end,1,2961,1541
100,1262,end,1,2961,1214
100,1382,end,3,2974,1331
100,1447,end,1,2964,1406
100,1342,end,1,2964,1301
100,1131,end,0,2920,1131
time,lastnum,result,maximumRoll,maximum,minimum
22,3204,win,21,3204,2926
100,3001,end,30,3175,2777
100,2507,end,0,2990,2346
100,3016,end,65,3149,2900
75,3203,win,74,3203,2930
71,3216,win,70,3216,2735
100,2885,end,43,3129,2764
100,2766,end,53,3189,2766
88,3223,win,87,3223,2807
39,3219,win,38,3219,2909
100,2842,end,2,2954,2469
100,3013,end,98,3083,2572
100,2835,end,8,3128,2694
62,3221,win,61,3221,2930
20,3233,win,19,3233,2930
100,3012,end,6,3060,2742
100,2814,end,65,3096,2798
100,2588,end,15,3016,2508
100,2994,end,62,3197,2775
31,3201,win,30,3201,2925
100,2475,end,4,3021,2451
100,2792,end,77,3014,2613
100,2740,end,23,3062,2604
100,2708,end,4,3015,2620
100,2455,end,0,2990,2455
75,3208,win,74,3208,2780
100,2851,end,18,3011,2652
100,2972,end,58,3114,2888
100,2535,end,20,2998,2534
73,3207,win,72,3207,2873
100,2600,end,0,3010,2600
69,3219,win,68,3219,2841
100,2958,end,87,3047,2706
100,3190,end,81,3197,2799
100,2896,end,74,3007,2724
100,2654,end,62,3119,2654
100,2798,end,1,2958,2420
100,2422,end,1,2954,2335
100,2647,end,39,3014,2634
100,2522,end,9,2932,2477
49,3203,win,48,3203,2943
100,3086,end,99,3086,2793
100,2427,end,9,3023,2427
100,2654,end,17,3072,2526
100,2187,end,2,2975,2118
100,3017,end,5,3038,2722
29,3210,win,28,3210,2908
100,2854,end,11,3081,2735
38,3221,win,37,3221,2895
40,3206,win,39,3206,2851
100,2722,end,10,3106,2631
35,3208,win,34,3208,2880
100,2760,end,65,3025,2610
100,2800,end,0,3010,2597
100,2850,end,85,3065,2828
39,3205,win,38,3205,2923
100,2688,end,1,2975,2508
100,2939,end,19,3027,2766
32,3222,win,31,3222,2922
42,3212,win,41,3212,2940
36,3210,win,35,3210,2930
100,2751,end,2,3030,2671
100,2707,end,62,3045,2707
100,3092,end,10,3165,2722
75,3201,win,74,3201,2887
38,3207,win,37,3207,2912
94,3205,win,93,3205,2805
75,3202,win,74,3202,2940
100,2704,end,28,3038,2638
100,1955,end,0,2930,1955
100,2281,end,6,2934,2281
100,2665,end,0,2930,2495
100,2328,end,1,2972,2286
100,2858,end,0,2930,2654
100,2844,end,30,3128,2842
100,2972,end,64,3063,2784
100,3126,end,83,3174,2843
100,2601,end,2,2954,2531
100,2895,end,47,3023,2670
100,2639,end,0,2930,2398
100,2922,end,59,3065,2653
90,3203,win,89,3203,2916
69,3210,win,68,3210,2799
100,2984,end,33,3099,2641
100,2633,end,6,2962,2536
100,3010,end,92,3102,2748
36,3208,win,35,3208,2836
63,3220,win,62,3220,2884
26,3204,win,25,3204,2930
100,2970,end,21,3109,2694
100,3144,end,82,3176,2800
55,3228,win,54,3228,2850
67,3201,win,66,3201,2800
100,2894,end,41,3101,2776
22,3210,win,21,3210,2930
40,3227,win,39,3227,2930
100,2913,end,49,3148,2819
100,2792,end,2,3010,2655
81,3204,win,80,3204,2887
100,2866,end,12,3101,2782
time,lastnum,result,maximumRoll,maximum,minimum
41,3235,win,40,3235,2751
100,2449,end,7,3048,2439
100,2769,end,0,3010,2596
100,2633,end,0,3010,2376
18,3206,win,17,3206,2920
100,2670,end,56,3063,2583
47,3224,win,46,3224,2841
96,3219,win,95,3219,2802
100,2770,end,19,3109,2696
100,2739,end,6,3080,2465
100,2788,end,16,2963,2541
65,3217,win,64,3217,2811
92,3204,win,91,3204,2930
29,3207,win,28,3207,2860
100,2711,end,66,2971,2611
100,2868,end,0,2990,2531
100,2857,end,62,3124,2833
59,3210,win,58,3210,2723
100,3014,end,84,3110,2677
57,3203,win,56,3203,2867
79,3205,win,78,3205,2835
60,3218,win,59,3218,2815
100,2663,end,4,3035,2610
89,3216,win,88,3216,2810
100,2816,end,43,3057,2583
50,3205,win,49,3205,2930
100,2674,end,53,3036,2609
23,3205,win,22,3205,2930
100,3012,end,96,3054,2704
100,2591,end,17,3012,2563
100,2916,end,14,2949,2689
100,2501,end,18,3023,2495
100,2788,end,34,3085,2788
48,3204,win,47,3204,2888
100,2792,end,44,3008,2713
51,3209,win,50,3209,2909
100,2571,end,9,3044,2499
100,2693,end,57,3090,2665
100,2520,end,2,2979,2475
61,3206,win,60,3206,2940
100,2586,end,12,3028,2563
100,2502,end,5,3000,2429
100,2741,end,5,3009,2588
43,3217,win,42,3217,2914
100,2756,end,5,3059,2696
31,3219,win,30,3219,2845
100,2657,end,11,2998,2608
100,2620,end,25,3083,2596
100,2725,end,0,2930,2407
88,3205,win,87,3205,2655
100,3032,end,94,3109,2776
100,2979,end,73,3193,2780
100,2960,end,5,3055,2705
100,3069,end,81,3176,2832
100,2819,end,3,2996,2744
82,3201,win,81,3201,2811
100,3020,end,98,3090,2705
100,2676,end,0,2990,2676
100,3147,end,96,3189,2788
100,2675,end,34,3070,2654
100,3172,end,99,3172,2797
100,2448,end,0,2930,2424
100,2824,end,5,3003,2548
29,3204,win,28,3204,2913
100,2856,end,10,3066,2759
100,2700,end,1,2951,2617
21,3203,win,20,3203,2930
100,3166,end,99,3166,2887
18,3208,win,17,3208,2940
100,2726,end,6,3037,2634
100,2314,end,10,3017,2314
100,2629,end,33,3144,2608
27,3218,win,26,3218,2930
100,3211,win,99,3211,2607
100,2697,end,58,3099,2669
100,2796,end,15,3044,2608
100,2611,end,5,3027,2365
39,3211,win,38,3211,2860
100,2658,end,8,3104,2596
100,2696,end,10,3110,2630
100,2338,end,0,2990,2338
100,2921,end,73,3085,2738
80,3206,win,79,3206,2789
57,3229,win,56,3229,2747
100,2796,end,72,3154,2775
100,2953,end,60,3078,2745
100,3149,end,18,3169,2653
100,2796,end,82,3041,2762
42,3210,win,41,3210,2879
100,2668,end,41,3081,2532
44,3210,win,43,3210,2905
100,3052,end,99,3052,2504
100,3127,end,94,3155,2772
100,2890,end,10,3016,2763
100,2861,end,47,3095,2772
100,2852,end,96,2992,2587
100,3098,end,97,3144,2782
100,3124,end,99,3124,2835
100,2754,end,0,2930,2460
54,3208,win,53,3208,2924
time,lastnum,result,maximumRoll,maximum,minimum
100,2483,end,0,2930,2414
80,3240,win,79,3240,2771
100,2419,end,2,2996,2398
100,2760,end,17,3009,2614
100,2840,end,87,3081,2453
100,2824,end,10,3104,2716
57,3206,win,56,3206,2864
34,3202,win,33,3202,2912
93,3217,win,92,3217,2905
100,3019,end,27,3098,2761
100,2893,end,55,3058,2756
100,2206,end,2,2996,2161
73,3208,win,72,3208,2785
100,2782,end,41,3113,2740
100,2878,end,16,3074,2809
49,3221,win,48,3221,2874
100,2380,end,1,2958,2248
100,2906,end,86,3106,2734
76,3231,win,75,3231,2736
100,2666,end,15,3027,2545
75,3204,win,74,3204,2885
52,3208,win,51,3208,2800
100,2696,end,7,3104,2675
100,2806,end,4,2999,2729
39,3233,win,38,3233,2838
91,3221,win,90,3221,2746
100,3122,end,99,3122,2839
100,2816,end,46,3187,2816
100,2896,end,11,3059,2707
100,2813,end,10,3159,2813
94,3224,win,93,3224,2930
100,2738,end,9,3107,2535
30,3201,win,29,3201,2930
100,2837,end,1,2951,2699
100,2854,end,23,2992,2611
100,2992,end,9,3078,2707
100,2948,end,32,3074,2840
100,2520,end,22,2993,2520
100,2905,end,13,3020,2788
100,2425,end,9,2937,2332
100,2992,end,77,3171,2790
87,3222,win,86,3222,2930
100,2706,end,5,3017,2493
100,2606,end,19,3011,2570
30,3219,win,29,3219,2930
43,3218,win,42,3218,2884
100,2889,end,65,3040,2826
100,2636,end,14,3104,2573
71,3204,win,70,3204,2863
100,2428,end,22,3022,2428
100,2873,end,7,3017,2648
100,2837,end,2,2940,2709
55,3202,win,54,3202,2902
100,2973,end,71,3115,2865
100,2900,end,57,3167,2793
100,2835,end,30,3089,2684
100,2977,end,13,3047,2707
100,2414,end,6,2991,2348
100,2669,end,0,2930,2669
100,3019,end,77,3048,2735
100,2688,end,3,3028,2688
78,3245,win,77,3245,2926
100,2822,end,13,2978,2587
100,2435,end,0,3010,2435
100,3093,end,99,3093,2627
100,2668,end,8,3037,2662
40,3202,win,39,3202,2832
100,2614,end,12,3047,2550
100,3025,end,18,3157,2807
100,2907,end,18,3072,2668
100,2123,end,15,3022,2123
100,2804,end,19,3081,2632
100,2478,end,11,3050,2450
100,2981,end,96,3121,2782
100,2945,end,0,3010,2766
100,2847,end,1,2972,2552
100,2741,end,40,3078,2600
39,3218,win,38,3218,2850
42,3203,win,41,3203,2892
100,2854,end,27,3041,2799
100,2746,end,33,2957,2725
100,2787,end,61,3059,2787
100,2195,end,0,2990,2143
100,2879,end,49,3045,2701
100,2719,end,51,3063,2695
100,2579,end,4,2961,2427
100,3055,end,88,3149,2698
100,2988,end,82,3114,2827
15,3204,win,14,3204,2940
68,3207,win,67,3207,2926
100,2879,end,71,3055,2830
100,2212,end,1,3000,2184
100,2385,end,17,3022,2336
50,3219,win,49,3219,2904
100,2891,end,1,3000,2758
100,2690,end,10,3087,2690
36,3237,win,35,3237,2894
60,3202,win,59,3202,2817
100,3078,end,96,3124,2739
100,2904,end,67,3042,2800
time,lastnum,result,maximumRoll,maximum,minimum
100,2971,end,38,3013,2712
100,2118,end,29,3011,2094
100,2957,end,38,3117,2856
100,2993,end,93,3077,2709
100,2874,end,4,3027,2755
23,3205,win,22,3205,2930
100,2971,end,52,3108,2806
100,3058,end,98,3058,2715
100,2489,end,2,2979,2466
94,3228,win,93,3228,2813
100,3038,end,97,3084,2798
39,3213,win,38,3213,2898
100,3126,end,98,3126,2581
28,3205,win,27,3205,2884
100,2320,end,2,2982,2320
38,3220,win,37,3220,2860
100,2842,end,37,3159,2760
100,2939,end,24,3145,2760
100,2845,end,45,3007,2748
100,2519,end,1,2951,2408
100,3064,end,98,3064,2777
100,2957,end,92,3055,2602
58,3227,win,57,3227,2865
100,2703,end,24,3045,2675
19,3214,win,18,3214,2940
71,3206,win,70,3206,2757
32,3201,win,31,3201,2930
100,3044,end,94,3058,2775
100,3049,end,54,3139,2871
100,2598,end,0,2930,2518
100,2558,end,0,2990,2402
100,3053,end,85,3174,2807
100,2784,end,13,2995,2720
66,3206,win,65,3206,2878
100,2349,end,0,3010,2248
43,3206,win,42,3206,2926
100,3001,end,43,3176,2909
100,2911,end,71,3085,2801
37,3210,win,36,3210,2940
100,2872,end,36,3098,2780
100,3061,end,38,3108,2862
100,2301,end,0,2990,2280
91,3225,win,90,3225,2860
100,2910,end,53,2992,2699
68,3240,win,67,3240,2834
100,3049,end,6,3079,2865
100,2709,end,9,3026,2660
100,2768,end,15,3107,2744
100,3089,end,98,3089,2758
100,3005,end,80,3110,2784
100,3101,end,40,3198,2883
100,2922,end,73,3024,2768
25,3232,win,24,3232,2930
25,3215,win,24,3215,2890
100,2319,end,2,2972,2319
100,2603,end,1,2951,2582
99,3212,win,98,3212,2862
36,3225,win,35,3225,2895
71,3221,win,70,3221,2781
100,2608,end,12,3024,2512
100,2984,end,53,3099,2814
100,3025,end,96,3165,2912
100,2995,end,89,3093,2808
100,2910,end,11,3146,2759
46,3219,win,45,3219,2911
100,2529,end,2,2940,2482
100,2793,end,10,3050,2563
100,2676,end,30,3162,2617
100,2998,end,73,3099,2904
100,2738,end,11,2942,2686
100,2684,end,11,3052,2647
100,2935,end,83,3053,2789
100,2782,end,10,3005,2687
100,2602,end,17,3027,2581
41,3210,win,40,3210,2930
100,2612,end,4,3017,2562
64,3220,win,63,3220,2802
100,2948,end,79,3099,2783
100,2503,end,4,2982,2455
100,2527,end,14,3037,2527
100,2702,end,3,3029,2702
99,3203,win,98,3203,2907
100,2762,end,0,3010,2588
93,3212,win,92,3212,2697
100,2928,end,68,3173,2879
100,3109,end,98,3179,2930
100,2901,end,40,3095,2835
100,2657,end,49,3045,2532
97,3204,win,96,3204,2708
100,2845,end,34,3199,2668
100,2486,end,2,3010,2360
71,3222,win,70,3222,2940
100,2953,end,81,3039,2691
100,3022,end,12,3066,2747
63,3235,win,62,3235,2876
100,2836,end,9,3013,2731
100,2876,end,43,3131,2860
100,2828,end,47,3100,2732
100,2816,end,3,3017,2748
100,2885,end,86,3092,2757
time,lastnum,result,maximumRoll,maximum,minimum
100,3209,end,99,3209,2657
100,2883,end,4,3002,2631
100,2860,end,12,3072,2791
100,2767,end,1,3020,2680
100,2575,end,7,3045,2471
100,2658,end,48,3089,2517
100,2728,end,5,3006,2662
100,3169,end,95,3288,2930
76,3524,win,75,3524,2930
100,3186,end,96,3228,2807
100,2955,end,93,3095,2828
100,2813,end,74,3020,2608
100,2835,end,81,3146,2807
100,2920,end,61,3045,2847
100,3233,end,60,3251,2916
100,2879,end,38,3053,2643
100,2549,end,2,2940,2394
100,3149,end,86,3196,2930
100,2820,end,56,3090,2656
100,2736,end,0,2930,2518
100,3404,end,91,3475,2888
100,2656,end,36,3104,2514
100,2892,end,54,3057,2706
100,2906,end,33,3175,2837
100,3123,end,98,3193,2697
100,3189,end,96,3204,2771
100,2998,end,94,3012,2601
100,3168,end,93,3169,2790
100,2860,end,0,2990,2475
100,2549,end,2,2990,2547
100,2617,end,5,3056,2617
100,3044,end,71,3311,2923
100,3019,end,46,3231,2888
100,2751,end,1,2972,2460
100,2561,end,35,2972,2464
100,3013,end,95,3069,2753
100,2724,end,0,3010,2669
100,2935,end,46,3284,2837
100,2638,end,9,3002,2595
100,2855,end,22,3330,2734
100,2603,end,9,3113,2472
100,3031,end,21,3054,2744
100,2648,end,1,2958,2582
100,3002,end,63,3056,2820
100,2915,end,82,3031,2750
100,3187,end,74,3325,2905
100,3085,end,99,3085,2772
100,3221,end,63,3329,2878
100,3049,end,51,3343,2853
100,2810,end,8,3141,2567
100,3274,end,90,3288,2894
